ASTEROIDIEN RATAELEMENTTEJA (kts triad_read.pro)
NUMBER   A    E   sinI    WBAR   NODE
   318     2.78300    0.1800    0.1720        4.60      257.40
   319     2.38300    0.1950    0.4380       32.50      101.50
   320     2.68300    0.2850    0.2300       10.90      318.30
   321     3.20600    0.1280    0.1680       67.60      337.90
   322     2.31800    0.1650    0.4120      256.50       28.00
   323     2.77600    0.0560    0.1300      262.50      346.70
   324     3.10600    0.1050    0.2910      120.10      350.60
   325     2.47600    0.1130    0.2840      154.70      182.00
   326     3.02500    0.0630    0.1020      349.60       11.50
   327     2.77300    0.0640    0.0450      306.20        8.90
   328     3.12400    0.1300    0.0750       13.70      336.80
   329     3.89100    0.0490    0.0640      233.00      142.40
   330     2.47200    0.1660    0.0840      276.10      160.30
   331     2.25200    0.0910    0.1100      232.30      235.90
   332     2.38300    0.1530    0.1430      109.20      350.10
   333     2.91300    0.0250    0.1250      155.60      286.20
   334     3.01200    0.0670    0.1700      318.60      181.30
   335     2.74800    0.1020    0.0790       87.10       13.30
   336     2.19900    0.1290    0.0920      318.20       25.50
   337     2.56700    0.1420    0.1460      109.60      236.50
   338     2.41200    0.2110    0.0490       55.60       20.50
   339     2.59500    0.2240    0.3200      265.50       41.10
   340     2.32500    0.0920    0.1810      114.90      215.30
   341     2.79600    0.0620    0.1340       32.80       92.10
   342     2.61200    0.1910    0.1980      170.70       85.10
   343     2.97000    0.0790    0.1510      124.30       89.20
   344     2.92500    0.0520    0.1360       24.90       25.30
   345     3.11600    0.1190    0.4000       76.60       91.60
   346     2.76500    0.1780    0.1450      138.90       98.00
   347     2.19400    0.1300    0.0700       54.40      247.60
   348     2.73600    0.3070    0.0840       68.80      111.10
   349     2.79600    0.1590    0.3090      148.20      142.60
   350     2.54000    0.1120    0.0820      114.60      340.70
   351     2.75700    0.1730    0.1630       41.40      303.50
   352     3.14800    0.0350    0.2470       47.30      141.50
   353     2.87700    0.1340    0.0620       76.90      190.90
   354     2.72900    0.1170    0.1190      333.40      357.60
   355     3.00200    0.1470    0.1970       73.90      138.10
   356     2.57900    0.0420    0.1340      104.40       20.70
   357     2.74800    0.0320    0.0880      349.60       58.90
   358     2.22100    0.1540    0.0960       79.00      111.50
   359     2.80200    0.1270    0.2260       46.60      189.50
   360     3.14200    0.0470    0.1930      276.30      341.70
   361     2.21900    0.1470    0.0400      144.00       86.00
   362     3.07000    0.1700    0.1630      308.00      233.20
   363     2.64900    0.0550    0.2040       10.20       94.60
   364     2.32400    0.0460    0.1480       20.00      287.90
   365     2.72700    0.0620    0.1480      240.70      282.80
   366     3.14600    0.1560    0.4530       99.40      332.90
   367     3.11600    0.1290    0.2680        0.60        0.90
   368     2.78000    0.1050    0.1690       41.40       39.80
   369     3.12700    0.0730    0.2840      309.30      334.10
   370     2.28900    0.1680    0.1110      241.70      298.60
   371     2.69100    0.0680    0.1260       66.30      217.80
   372     2.77700    0.0910    0.1360       38.70      239.20
   373     3.13700    0.1480    0.0320      348.10      216.80
   374     2.67800    0.0870    0.0890      292.90       94.40
   375     3.21200    0.1110    0.2050      253.30      129.60
   376     3.12100    0.1920    0.1650      216.20      310.60
   377     3.13500    0.1480    0.0250       61.70       90.80
   378     2.65100    0.1590    0.0880       89.00       37.10
   379     2.84700    0.1620    0.2460      171.60      340.20
   381     2.74200    0.2000    0.3030      278.70      133.40
   382     3.00600    0.0420    0.1190      286.70      345.50
   383     2.60800    0.0980    0.1620      180.70      281.30
   384     2.65300    0.1550    0.2300      140.50      302.10
   385     2.32000    0.2550    0.4200        3.30      220.00
   386     2.88500    0.1090    0.2540       31.50      214.50
   387     2.77500    0.2410    0.3180      293.70      215.50
   388     2.76200    0.1890    0.1000      329.70       62.10
   389     2.78600    0.0950    0.0780      247.50      264.20
   390     2.74200    0.1670    0.0630      255.60      258.00
   391     2.63600    0.1970    0.2430       12.90      234.80
   392     2.73900    0.2260    0.1880       86.50      282.20
   393     3.05300    0.1120    0.2360      176.40      341.80
   394     3.12900    0.1370    0.2060      194.30      322.10
   395     3.34200    0.0450    0.0950      233.30       25.90
   396     2.55600    0.1520    0.1950      149.20      132.10
   397     2.81200    0.0880    0.1810       41.40      145.20
   398     2.59300    0.2110    0.2460      204.80       95.10
   399     2.58400    0.2580    0.2520      198.40      261.70
   400     2.91600    0.1420    0.0920      347.40      306.50
   401     2.62500    0.0360    0.1480       34.70      292.20
   402     3.16400    0.1060    0.1830       52.10      297.60
   403     2.57600    0.0930    0.2130      214.70      244.90
   404     2.72700    0.2320    0.1700      262.30       98.80
   405     2.93500    0.1040    0.2450      272.70      109.00
   406     2.76300    0.0710    0.2220      184.80      107.80
   408     3.50300    0.0700    0.1450      102.90      114.90
   409     2.78800    0.2770    0.1440       70.50      136.70
   410     2.78700    0.2270    0.2100      245.80       52.80
   411     2.79900    0.1740    0.1240      184.80      211.00
   412     2.59300    0.0840    0.1370       23.60      252.60
   413     2.59600    0.2470    0.0860      263.10      235.70
   414     3.41800    0.0440    0.1350      143.60      250.00
   415     2.53800    0.2580    0.1410       41.80      193.30
   416     2.22800    0.1610    0.0820      346.40        1.60
   417     3.06800    0.0520    0.1780      229.30       66.90
   418     2.77400    0.0990    0.1240       91.90      101.00
   419     2.88600    0.0970    0.0570      184.40       49.70
   421     2.97400    0.1030    0.1080      288.90      294.10
   422     2.30800    0.1530    0.1040       44.70        9.30
   423     2.60700    0.0960    0.1760       39.90      225.30
   424     2.84100    0.2520    0.2720       75.20      252.40
   425     3.12900    0.1510    0.0130      321.50      148.30
   426     2.37000    0.1390    0.1980      242.50       89.30
   427     1.45800    0.2190    0.1870      126.20      314.50
   428     1.94400    0.0670    0.3580      285.70      183.10
   429     2.44900    0.1190    0.0290      355.30      351.90
   430     3.19700    0.0380    0.3260       84.80      347.90
   431     2.38600    0.1980    0.1550      318.80      262.10
   432     2.55400    0.0800    0.1170      227.70       43.10
   433     3.13200    0.0810    0.3390      116.20      205.10
   434     2.21000    0.1510    0.0390      124.30      278.90
   435     2.80700    0.0860    0.1610      121.70      256.20
   436     2.34500    0.1010    0.0990      198.10      141.20
   437     2.21500    0.0950    0.0800      157.60      183.10
   438     2.77100    0.1400    0.1840      351.70      203.50
   439     3.19400    0.1040    0.4040      353.10      290.50
   440     2.78800    0.0930    0.1780      322.40       37.40
   441     2.98600    0.0150    0.0660       91.40       64.90
   442     3.14400    0.1300    0.2230      323.00       35.00
   443     2.55500    0.1940    0.0370      139.60       78.90
   444     3.01500    0.0650    0.1740       13.10        8.40
   445     3.06300    0.0590    0.2430      104.50       89.20
   446     2.86500    0.0630    0.0360      168.30       90.80
   447     2.18300    0.1360    0.0910      199.80        5.00
   448     2.62800    0.1390    0.1030      200.40       22.80
   449     2.65700    0.2330    0.2160      347.90       74.80
   450     2.78400    0.2030    0.2650      224.70      232.70
   451     3.09000    0.1250    0.2480       26.90      254.40
   452     2.99400    0.1880    0.2270       56.90      139.60
   453     2.62100    0.1850    0.1750       54.90       22.30
   454     2.71800    0.0640    0.0890        5.40      217.40
   455     3.11200    0.1590    0.0250      114.30      209.40
   456     2.87400    0.0500    0.0360      345.20      110.50
   457     2.39800    0.1720    0.2230       16.40       35.50
   458     2.80200    0.1520    0.1660      356.10      102.70
   459     3.09200    0.2330    0.1190      217.20      300.10
   461     2.94400    0.0860    0.1300       73.60      316.90
   462     3.14000    0.1530    0.0220      348.30      298.90
   463     3.16600    0.2000    0.2260      178.50      326.30
   464     2.40500    0.1230    0.1270      203.20      179.40
   465     2.88800    0.1970    0.2480       47.80       87.20
   466     2.54200    0.1030    0.2640       98.00      130.70
   467     2.98300    0.1210    0.5030       10.70      324.60
   468     2.45400    0.1730    0.1510      312.50      169.90
   469     2.59600    0.2510    0.3340      350.90       38.40
   470     2.65000    0.0650    0.2070      257.30      285.50
   471     2.41600    0.1500    0.0910      328.40        1.60
   472     3.01700    0.0930    0.2480      120.60      237.00
   473     2.72100    0.2140    0.1530       49.30      140.90
   474     2.64400    0.0120    0.3760      130.20      238.30
   475     2.74100    0.1740    0.1560       41.40       38.60
   476     3.00000    0.0870    0.2530      242.20      183.70
   477     3.42600    0.0150    0.3170      203.00      178.50
   478     2.66800    0.0330    0.2020      277.40      130.40
   479     2.75000    0.1830    0.2640      115.70      198.60
   480     2.35200    0.1840    0.1870      203.80       96.70
   481     2.67000    0.0620    0.1620       56.60      117.70
   482     3.15500    0.1880    0.1980      159.20       82.00
   483     3.15200    0.0790    0.2200      173.90      172.80
   484     3.17500    0.0520    0.1590       20.50      186.30
   485     3.19600    0.0550    0.3220       95.00      178.90
   486     3.11200    0.1470    0.0230      329.20        0.70
   487     3.12300    0.1260    0.2770       46.10      352.30
   488     2.98600    0.0840    0.1150      226.30       29.40
   489     2.48800    0.1060    0.0450       44.00      209.30
   490     2.19900    0.1280    0.0770      124.40      212.80
   491     2.85000    0.2620    0.0880        8.70      350.60
   492     2.65000    0.1830    0.1560      332.70       95.90
   493     2.61300    0.0980    0.1920        7.50      288.20
   495     2.38400    0.1730    0.4200      151.20      132.50
   496     2.72300    0.1870    0.0760      120.50       60.00
   497     2.72100    0.1650    0.2160      348.60      104.30
   498     2.68500    0.2390    0.1530       73.90       93.50
   499     3.04100    0.1560    0.3130      115.30      313.40
   500     3.15300    0.0580    0.1870       41.50      293.10
   501     3.16100    0.0470    0.2200      210.50       40.70
   502     3.06500    0.0570    0.2760       25.50      222.10
   503     2.61100    0.1630    0.1830      280.00      208.10
   504     3.17800    0.1710    0.2530       96.50      111.90
   505     2.19000    0.1740    0.1520       13.80      108.70
   506     3.01400    0.0560    0.1710       68.00      191.70
   507     3.04700    0.0110    0.0880       81.70      271.20
   508     3.12000    0.1540    0.0190       66.30      151.10
   509     2.68000    0.2610    0.2770      215.90      323.20
   510     3.14600    0.1660    0.0790       62.60      278.80
   511     2.53700    0.1860    0.1350      314.50      212.30
   512     2.79000    0.1540    0.1860      352.60       42.30
   513     3.00600    0.0820    0.1840       70.00       28.70
   514     2.74100    0.2870    0.1790       41.40       86.40
   515     3.62900    0.0390    0.0570      347.10      126.20
   516     2.96600    0.1780    0.0970       99.20      264.80
   517     2.63500    0.1020    0.1600       60.60      321.60
   518     2.24500    0.1430    0.1170      122.30      208.60
   519     3.12100    0.1620    0.0260      147.90      173.00
   520     2.72600    0.1250    0.1510      317.90      123.50
   521     3.39700    0.0330    0.2060      174.50       47.10
   522     3.01700    0.0650    0.1740       55.90       62.50
   523     3.21000    0.1740    0.1280      318.10      133.50
   524     2.78400    0.1540    0.5840      222.00      188.70
   525     2.77200    0.1840    0.2860      176.70      107.10
   526     2.98100    0.0770    0.1140      199.50      191.00
   527     2.88400    0.0530    0.0370      107.40       93.30
   528     2.56900    0.0590    0.1010      164.40       83.90
   529     3.50000    0.0380    0.3160       28.00       58.40
   530     3.06300    0.2220    0.1520      294.80      124.90
   531     3.16500    0.1240    0.1010        0.50      149.80
   532     2.73900    0.1450    0.1460       41.40      302.40
   533     2.21900    0.1450    0.1090      168.20      207.90
   534     2.81500    0.0680    0.1240      231.50      269.70
   535     2.90600    0.0960    0.1990        4.30      157.60
